amateur,country_code,player_name,country,dg_id
0,ENG,"Abbott, Jamie",England,14794
0,SWE,"Aberg, Ludvig",Sweden,23950
0,POR,"Abreu, Alexandre",Portugal,24555
1,TUR,"Acikalin, Leon",Turkey,21644
0,USA,"Ackerman, Derek",United States,27455
0,USA,"Adamonis, Brad",United States,7612
0,USA,"Adams, Blake",United States,12088
0,GER,"Adank, Niklas",Germany,20942
0,SWE,"Adell, Gustav",Sweden,12234
0,USA,"Adrounie, Tom",United States,30736
0,RSA,"Africa, Keelan",South Africa,24573
0,SWE,"Agren, Jonathan",Sweden,20400
0,COL,"Aguado, Camilo",Colombia,25686
0,CHI,"Aguilar, Felipe",Chile,8135
0,ESP,"Aguilar, Mario Galiano",Spain,19557
0,IND,"Ahlawat, Veer",India,22897
0,RSA,"Ahlers, Jaco",South Africa,11852
0,IND,"Ahmed, Syed Saqib",India,18056
0,FIN,"Ahokas, Antti",Finland,11897
0,RSA,"Aiken, Thomas",South Africa,7679
1,USA,"Akana, Blaze",United States,30618
0,JPN,"Akiyoshi, Shota",Japan,13528
0,UGA,"Akope, Deo",Uganda,8749
1,QAT,"Al Kuwari, Jaham Jassim",Qatar,24543
1,KSA,"Al Mansour, Abdul Rahman",Saudi Arabia,22605
0,KSA,"Al Mulla, Othman",Saudi Arabia,11985
0,UAE,"Al Musharrekh, Ahmed",United Arab Emirates,14407
0,UAE,"Al Musharrekh, Hassan",United Arab Emirates,22704
1,OMA,"Al Rumhy, Azaan",Oman,18024
0,KSA,"Al Salhab, Faisal",Saudi Arabia,18025
0,KSA,"Al Sharif, Saud",Saudi Arabia,22606
0,USA,"Albano, Jr., Anthony",United States,29601
0,GER,"Albers, Anton",Germany,25305
0,RSA,"Albertse, Louis",South Africa,24341
0,USA,"Albertson, Anders",United States,21235
0,NED,"Albertus, Max",Netherlands,16496
0,USA,"Aldridge, Tyler",United States,11677
0,USA,"Alexander, Tyson",United States,14002
0,USA,"Alford, Ryan",United States,29152
0,NZL,"Alker, Steven",New Zealand,4871
0,ENG,"Allan, James",England,18778
0,AUS,"Allan, Stephen",Australia,5697
0,CAN,"Allenby, James",Canada,13850
0,AUS,"Allenby, Robert",Australia,4949
0,USA,"Alligood, Andrew",United States,27560
0,TUR,"Altuntas, Ali",Turkey,18051
0,CHI,"Alvarado, Benjamin",Chile,12547
